Unique ID,Authors,Authors-revised,Authors (Full Names),Authors (Full Names)-revised
WOS:000443221501199,"Rowe, AT|Zapolski, TCB","Rowe, AT|Zapolski, TCB","Rowe, Alia T.|Zapolski, Tamika C. B.","Rowe, Alia T.|Zapolski, Tamika C. B."
WOS:000443221502048,"Boehm, SL|Schafer, DJ|Vigil, D","Boehm, SL|Schafer, DJ|Vigil, D","Boehm, Stephen L., II|Schafer, D. J.|Vigil, D.","Boehm, Stephen L., II|Schafer, D. J.|Vigil, D."
WOS:000443221502261,"Boehm, SL|Hernandez, M|Schafer, DJ|Zhang, YP","Boehm, SL|Hernandez, M|Schafer, DJ|Zhang, YP","Boehm, Stephen L., II|Hernandez, M.|Schafer, D. J.|Zhang, Yanping","Boehm, Stephen L., II|Hernandez, M.|Schafer, D. J.|Zhang, Yanping"
WOS:000443221502402,"Clifton, RL|Zapolski, TCB","Clifton, RL|Zapolski, TCB","Clifton, R. L.|Zapolski, Tamika C. B.","Clifton, R. L.|Zapolski, Tamika C. B."
WOS:000443221503018,"Banks, DE|Zapolski, TCB","Banks, DE|Zapolski, TCB","Banks, Devin E.|Zapolski, Tamika C. B.","Banks, Devin E.|Zapolski, Tamika C. B."
WOS:000436051400006,"Agley, JD|Davis, A|Gassman, RA|Lawrence, CA|Meyerson, BE|Ritchie, K|Ryder, PT|Shannon, DJ","Agley, JD|Davis, A|Gassman, RA|Lawrence, CA|Meyerson, BE|Ritchie, K|Ryder, PT|Shannon, DJ","Agley, Jon D.|Davis, Alissa|Gassman, Ruth A.|Lawrence, Carrie A.|Meyerson, Beth E.|Ritchie, Karleen|Ryder, Priscilla T.|Shannon, David J.","Agley, Jon D.|Davis, Alissa|Gassman, Ruth A.|Lawrence, Carrie A.|Meyerson, Beth E.|Ritchie, Karleen|Ryder, Priscilla T.|Shannon, David J."
WOS:000434327900013,"Agley, JD|Dutta, T|Meyerson, BE","Agley, JD|Dutta, T|Meyerson, BE","Agley, Jon D.|Dutta, Tapati|Meyerson, Beth E.","Agley, Jon D.|Dutta, Tapati|Meyerson, Beth E."
WOS:000434420500008,"Byon, HD|Johantgen, M|Newhouse, RP|Wolf, ES","Byon, HD|Johantgen, M|Newhouse, RP|Wolf, ES","Byon, Ha Do|Johantgen, Meg|Newhouse, Robin P.|Wolf, Emily Storkman","Byon, Ha Do|Johantgen, Meg|Newhouse, Robin P.|Wolf, Emily Storkman"
WOS:000433218200023,"Dixon, BE|Embi, PJ|Haggstrom, DA","Dixon, BE|Embi, PJ|Haggstrom, DA","Dixon, Brian E.|Embi, Peter J.|Haggstrom, David A.","Dixon, Brian E.|Embi, Peter J.|Haggstrom, David A."
WOS:000433116300001,"Andraka-Christou, B|Brown-Podgorski, B|Rager, JB|Silverman, RD|Watson, DP","Andraka-Christou, B|Brown-Podgorski, B|Rager, JB|Silverman, RD|Watson, DP","Andraka-Christou, Barbara|Brown-Podgorski, Brittany|Rager, Joshua B.|Silverman, Ross D.|Watson, Dennis P.","Andraka-Christou, Barbara|Brown-Podgorski, Brittany|Rager, Joshua B.|Silverman, Ross D.|Watson, Dennis P."
WOS:000441342500004,"Bell, TM|Koniaris, LG|Lad, N|Milgrom, DP|Valsangkar, NP|Wojcik, B|Zimmers, TA","Bell, TM|Koniaris, LG|Lad, N|Milgrom, DP|Valsangkar, NP|Wojcik, B|Zimmers, TA","Bell, Teresa M.|Koniaris, Leonidas G.|Lad, Neha|Milgrom, Daniel P.|Valsangkar, Nakul P.|Wojcik, Brandon|Zimmers, Teresa A.","Bell, Teresa M.|Koniaris, Leonidas G.|Lad, Neha|Milgrom, Daniel P.|Valsangkar, Nakul P.|Wojcik, Brandon|Zimmers, Teresa A."
WOS:000438163800002,"Berry, D|Burson, R|Dorough, C|Garcia, R|Johnson, B|McGuinn, K|McSweeney, J|Newhouse, RP|Pereira, K|Swanson, K|Thompson, P|Vitello, J","Berry, D|Burson, R|Dorough, C|Garcia, R|Johnson, B|McGuinn, K|McSweeney, J|Newhouse, RP|Pereira, K|Swanson, K|Thompson, P|Vitello, J","Berry, Donna|Burson, Rosanne|Dorough, Carol|Garcia, Rick|Johnson, Barbara|McGuinn, Kathy|McSweeney, Jean|Newhouse, Robin P.|Pereira, Katherine|Swanson, Kristen|Thompson, Patricia|Vitello, Joan","Berry, Donna|Burson, Rosanne|Dorough, Carol|Garcia, Rick|Johnson, Barbara|McGuinn, Kathy|McSweeney, Jean|Newhouse, Robin P.|Pereira, Katherine|Swanson, Kristen|Thompson, Patricia|Vitello, Joan"
WOS:000434110300029,"Bell, TM|Fecher, AM|Koniaris, LG|Lisy, ME|Rozycki, GS|Valsangkar, NP","Bell, TM|Fecher, AM|Koniaris, LG|Lisy, ME|Rozycki, GS|Valsangkar, NP","Bell, Teresa M.|Fecher, Alison M.|Koniaris, Leonidas G.|Lisy, Megan E.|Rozycki, Grace S.|Valsangkar, Nakul P.","Bell, Teresa M.|Fecher, Alison M.|Koniaris, Leonidas G.|Lisy, Megan E.|Rozycki, Grace S.|Valsangkar, Nakul P."
WOS:000434113200006,"Aaron, S|Ai, A|Ash, J|Bates, DW|Borkowsky, S|Dissanayake, PI|Embi, PJ|Galanter, W|Harper, J|Hickman, TTT|Kassakian, SZ|McEvoy, D|Ramoni, R|Schreiber, R|Sirajuddin, A|Sittig, DF|Wiesen, JF|Wright, A","Aaron, S|Ai, A|Ash, J|Bates, DW|Borkowsky, S|Dissanayake, PI|Embi, PJ|Galanter, W|Harper, J|Hickman, TTT|Kassakian, SZ|McEvoy, D|Ramoni, R|Schreiber, R|Sirajuddin, A|Sittig, DF|Wiesen, JF|Wright, A","Aaron, Skye|Ai, Angela|Ash, Joan|Bates, David W.|Borkowsky, Shane|Dissanayake, Pavithra I.|Embi, Peter J.|Galanter, William|Harper, Jeremy|Hickman, Thu-Trang T.|Kassakian, Steve Z.|McEvoy, Dustin|Ramoni, Rachel|Schreiber, Richard|Sirajuddin, Anwar|Sittig, Dean F.|Wiesen, Jane F.|Wright, Adam","Aaron, Skye|Ai, Angela|Ash, Joan|Bates, David W.|Borkowsky, Shane|Dissanayake, Pavithra I.|Embi, Peter J.|Galanter, William|Harper, Jeremy|Hickman, Thu-Trang T.|Kassakian, Steve Z.|McEvoy, Dustin|Ramoni, Rachel|Schreiber, Richard|Sirajuddin, Anwar|Sittig, Dean F.|Wiesen, Jane F.|Wright, Adam"
WOS:000432461800032,"Almqvist, C|D'Onofrio, BM|Larsson, H|Larsson, K|Lichtenstein, P|Lundholm, C|Rejno, G|Saltvedt, S","Almqvist, C|D'Onofrio, BM|Larsson, H|Larsson, K|Lichtenstein, P|Lundholm, C|Rejno, G|Saltvedt, S","Almqvist, Catarina|D'Onofrio, Brian M.|Larsson, Henrik|Larsson, Kjell|Lichtenstein, Paul|Lundholm, Cecilia|Rejno, Gustaf|Saltvedt, Sissel","Almqvist, Catarina|D'Onofrio, Brian M.|Larsson, Henrik|Larsson, Kjell|Lichtenstein, Paul|Lundholm, Cecilia|Rejno, Gustaf|Saltvedt, Sissel"
WOS:000431638900010,"Bair, MJ|Chang, Z|D'Onofrio, BM|Gibbons, RD|Hur, K|Krebs, EE|Kroenke, K|Quinn, PD|Rickert, ME|Scott, EL","Bair, MJ|Chang, Z|D'Onofrio, BM|Gibbons, RD|Hur, K|Krebs, EE|Kroenke, K|Quinn, PD|Rickert, ME|Scott, EL","Bair, Matthew J.|Chang, Zheng|D'Onofrio, Brian M.|Gibbons, Robert D.|Hur, Kwan|Krebs, Erin E.|Kroenke, Kurt|Quinn, Patrick D.|Rickert, Martin|Scott, Eric L.","Bair, Matthew J.|Chang, Zheng|D'Onofrio, Brian M.|Gibbons, Robert D.|Hur, Kwan|Krebs, Erin E.|Kroenke, Kurt|Quinn, Patrick D.|Rickert, Martin|Scott, Eric L."
WOS:000431614600011,"Almqvist, C|Brander, G|D'Onofrio, BM|Fernandez de la Cruz, L|Kuja-Halkola, R|Larsson, H|Lichtenstein, P|Mataix-Cols, D|Ruck, C|Rydell, M|Serlachius, E","Almqvist, C|Brander, G|D'Onofrio, BM|Fernandez de la Cruz, L|Kuja-Halkola, R|Larsson, H|Lichtenstein, P|Mataix-Cols, D|Ruck, C|Rydell, M|Serlachius, E","Almqvist, Catarina|Brander, Gustaf|D'Onofrio, Brian M.|Fernandez de la Cruz, Lorena|Kuja-Halkola, Ralf|Larsson, Henrik|Lichtenstein, Paul|Mataix-Cols, David|Ruck, Christian|Rydell, Mina|Serlachius, Eva","Almqvist, Catarina|Brander, Gustaf|D'Onofrio, Brian M.|Fernandez de la Cruz, Lorena|Kuja-Halkola, Ralf|Larsson, Henrik|Lichtenstein, Paul|Mataix-Cols, David|Ruck, Christian|Rydell, Mina|Serlachius, Eva"
