id,fullname,fullname-revised,name,name-revised
WOS:000209506600475,"Arno, J. N.|Barclay, L.|Meyerson, B. E.|Rivera, I.|Van der Pol, B.|Zimet, G. D.","Arno, Janet N.|Barclay, Lynn|Meyerson, Beth E.|Rivera, I.|Van der Pol, Barbara J.|Zimet, Gregory D.","Arno, JN|Barclay, L|Meyerson, BE|Rivera, I|Van der Pol, B|Zimet, GD","Arno, JN|Barclay, L|Meyerson, BE|Rivera, I|Van der Pol, BJ|Zimet, GD"
WOS:000209506600620,"Lawrence, C. A.|Meyerson, B. E.|Smith, J. S.","Lawrence, Carrie A.|Meyerson, Beth E.|Smith, J. S.","Lawrence, CA|Meyerson, BE|Smith, JS","Lawrence, CA|Meyerson, BE|Smith, JS"
WOS:000209835900007,"Earnest, Mark|Pfeifle, Andrea","Earnest, Mark A.|Pfeifle, Andrea L.","Earnest, M|Pfeifle, A","Earnest, MA|Pfeifle, AL"
WOS:000211285600002,"Aalsma, Matthew|Alexander, Andrew|Hood, Brittany|Salyers, Michelle|Schwartz, Katherine","Aalsma, Matthew C.|Alexander, Andrew O.|Hood, Brittany|Salyers, Michelle P.|Schwartz, Katherine","Aalsma, MC|Alexander, AO|Hood, BJ|Salyers, MP|Schwartz, K","Aalsma, MC|Alexander, AO|Hood, BJ|Salyers, MP|Schwartz, K"
WOS:000212245200009,"Applegate, Amy G.|Ballard, Robin H.|Bates, John E.|D'Onofrio, Brian M.|Hotzworth-Munroe, Amy|Rudd, Brittany N.","Applegate, Amy G.|Ballard, Robin H.|Bates, John E.|D'Onofrio, Brian M.|Hotzworth-Munroe, Amy|Rudd, Brittany N.","Applegate, AG|Ballard, RH|Bates, JE|D'Onofrio, BM|Hotzworth-Munroe, A|Rudd, BN","Applegate, AG|Ballard, RH|Bates, JE|D'Onofrio, BM|Hotzworth-Munroe, A|Rudd, BN"
WOS:000218914000003,"Ayuo, Paul O.|Gardner, Adrian|Helphinstine, Jill|Huskins, Jordan C.|Johnson, Cynthia S.|Litzelman, Debra K.|Machogu, Emily P.|Mining, Simeon|Stone, Geren S.|Umoren, Rachel A.","Ayuo, Paul O.|Gardner, Adrian|Helphinstine, Jill|Huskins, Jordan C.|Johnson, Cynthia S.|Litzelman, Debra K.|Machogu, Emily P.|Mining, Simeon|Stone, Geren S.|Umoren, Rachel A.","Ayuo, PO|Gardner, A|Helphinstine, J|Huskins, JC|Johnson, CS|Litzelman, DK|Machogu, EP|Mining, S|Stone, GS|Umoren, RA","Ayuo, PO|Gardner, A|Helphinstine, J|Huskins, JC|Johnson, CS|Litzelman, DK|Machogu, EP|Mining, S|Stone, GS|Umoren, RA"
WOS:000220556100006,"Seibt, G","Seibt, Gustav","Seibt, G","Seibt, G"
WOS:000221452500004,"Frankel, RM|Inui, TS|Litzelman, DK|Mossbarger, DL|Suchman, AL|Williamson, PR","Frankel, Richard M.|Inui, Thomas S.|Litzelman, Debra K.|Mossbarger, David L.|Suchman, Anthony L.|Williamson, Penelope R.","Frankel, RM|Inui, TS|Litzelman, DK|Mossbarger, DL|Suchman, AL|Williamson, PR","Frankel, RM|Inui, TS|Litzelman, DK|Mossbarger, DL|Suchman, AL|Williamson, PR"
WOS:000222667800011,"Bowen, JL|Cooney, TG|Embi, PJ|Gorman, PN|Logan, JR|Yackel, TR","Bowen, JL|Cooney, Thomas G.|Embi, Peter J.|Gorman, PN|Logan, Judith R.|Yackel, Thomas R.","Bowen, JL|Cooney, TG|Embi, PJ|Gorman, PN|Logan, JR|Yackel, TR","Bowen, JL|Cooney, TG|Embi, PJ|Gorman, PN|Logan, JR|Yackel, TR"
WOS:000223266200009,"Seibt, G","Seibt, Gustav","Seibt, G","Seibt, G"
WOS:000223562200013,"Bogdewic, S|Gaffney, M|Galvin, M|Lane, K|Litzelman, D|Mitchell, G|Seshadri, R|Srinivasan, M|Treadwell, P|Willis, L|Zhou, W","Bogdewic, Stephen P.|Gaffney, M|Galvin, M|Lane, Kathleen|Litzelman, Debra K.|Mitchell, G|Seshadri, R|Srinivasan, M|Treadwell, P|Willis, L|Zhou, W","Bogdewic, S|Gaffney, M|Galvin, M|Lane, K|Litzelman, D|Mitchell, G|Seshadri, R|Srinivasan, M|Treadwell, P|Willis, L|Zhou, W","Bogdewic, SP|Gaffney, M|Galvin, M|Lane, K|Litzelman, DK|Mitchell, G|Seshadri, R|Srinivasan, M|Treadwell, P|Willis, L|Zhou, W"
WOS:000223799001178,"Calabrese, LH|Embi, PJ|Mandell, BF","Calabrese, LH|Embi, Peter J.|Mandell, BF","Calabrese, LH|Embi, PJ|Mandell, BF","Calabrese, LH|Embi, PJ|Mandell, BF"
WOS:000223822900007,"Seibt, G","Seibt, Gustav","Seibt, G","Seibt, G"
WOS:000224647800006,"Seibt, G","Seibt, Gustav","Seibt, G","Seibt, G"
WOS:000226494200015,"Aalsma, MC|Eisenberg, ME","Aalsma, Matthew C.|Eisenberg, ME","Aalsma, MC|Eisenberg, ME","Aalsma, MC|Eisenberg, ME"
WOS:000227107300034,"Aalsma, MC|Azzouz, F|Fortenberry, JD|LeJeune, BC|Zimet, GD","Aalsma, Matthew C.|Azzouz, Faouzi|Fortenberry, J. Dennis|LeJeune, Brenna C.|Zimet, Gregory D.","Aalsma, MC|Azzouz, F|Fortenberry, JD|LeJeune, BC|Zimet, GD","Aalsma, MC|Azzouz, F|Fortenberry, JD|LeJeune, BC|Zimet, GD"
WOS:000227107300036,"Aalsma, MC|Azzouz, F|Fortenberry, JD","Aalsma, Matthew C.|Azzouz, Faouzi|Fortenberry, J. Dennis","Aalsma, MC|Azzouz, F|Fortenberry, JD","Aalsma, MC|Azzouz, F|Fortenberry, JD"
WOS:000227406900003,"Christakis, DA|Ebel, BE|Garrison, MM|Rivara, FP|Wiehe, SE","Christakis, DA|Ebel, BE|Garrison, MM|Rivara, FP|Wiehe, Sarah E.","Christakis, DA|Ebel, BE|Garrison, MM|Rivara, FP|Wiehe, SE","Christakis, DA|Ebel, BE|Garrison, MM|Rivara, FP|Wiehe, SE"
WOS:000228450900397,"Bogdewic, S|Counsell, SR|Frank, K|Frankel, R|Inui, T|Litzelman, D|Westmoreland, GR","Bogdewic, Stephen P.|Counsell, Steven R.|Frank, Kathryn I.|Frankel, Richard M.|Inui, Thomas S.|Litzelman, Debra K.|Westmoreland, Glenda R.","Bogdewic, S|Counsell, SR|Frank, K|Frankel, R|Inui, T|Litzelman, D|Westmoreland, GR","Bogdewic, SP|Counsell, SR|Frank, KI|Frankel, RM|Inui, TS|Litzelman, DK|Westmoreland, GR"
WOS:000228450900529,"Counsell, CR|Litzelman, DK|Westmoreland, GR","Counsell, CR|Litzelman, Debra K.|Westmoreland, Glenda R.","Counsell, CR|Litzelman, DK|Westmoreland, GR","Counsell, CR|Litzelman, DK|Westmoreland, GR"
WOS:000228831000052,"Frankel, RM|Inui, TS|Litzelman, DK|Mossbarger, DL|Suchman, A|Williamson, PR","Frankel, Richard M.|Inui, Thomas S.|Litzelman, Debra K.|Mossbarger, David L.|Suchman, Anthony L.|Williamson, Penelope R.","Frankel, RM|Inui, TS|Litzelman, DK|Mossbarger, DL|Suchman, A|Williamson, PR","Frankel, RM|Inui, TS|Litzelman, DK|Mossbarger, DL|Suchman, AL|Williamson, PR"
WOS:000228831000249,"Bizjack, S|Clark, J|Embi, PJ|Harris, CM|Hornung, RW|Jain, A","Bizjack, S|Clark, J|Embi, Peter J.|Harris, C. Martin|Hornung, RW|Jain, Anil","Bizjack, S|Clark, J|Embi, PJ|Harris, CM|Hornung, RW|Jain, A","Bizjack, S|Clark, J|Embi, PJ|Harris, CM|Hornung, RW|Jain, A"
WOS:000229126500011,"Seibt, G","Seibt, Gustav","Seibt, G","Seibt, G"
WOS:000229927800003,"Seibt, G","Seibt, Gustav","Seibt, G","Seibt, G"
